,index,Architecture,Starting LR,Optimizer,Weight Decay,Mixup,Dropout,Epoch,Loss Train,Loss Val,AUC Val,Total time (min)
0,16,DeiT,0.005,SGD,1e-05,True,0.0,8,0.423,0.449,0.866,322.71
1,21,DeiT,0.005,SGD,0.0001,False,0.0,4,0.29,0.46399999999999997,0.865,178.93
2,26,DeiT,0.005,SGD,0.001,True,0.0,6,0.462,0.441,0.8640000000000001,239.55
3,27,DeiT,0.005,SGD,0.0001,True,0.0,7,0.41200000000000003,0.45399999999999996,0.8640000000000001,303.85
4,28,DeiT,0.005,SGD,0.0,True,0.0,11,0.40299999999999997,0.462,0.863,418.51
5,33,DeiT,0.005,SGD,0.001,False,0.0,4,0.354,0.456,0.86,191.61
6,34,DeiT,0.01,SGD,0.0,True,0.0,4,0.469,0.44299999999999995,0.8590000000000001,189.23
7,36,DeiT,0.005,SGD,1e-05,False,0.0,4,0.292,0.48,0.8590000000000001,189.65
8,37,DeiT,0.005,SGD,0.0,False,0.0,3,0.335,0.462,0.858,146.84
9,39,DeiT,0.01,SGD,0.0001,True,0.0,6,0.439,0.45899999999999996,0.857,256.54
10,40,DeiT,0.01,SGD,0.0001,False,0.0,4,0.326,0.466,0.856,184.59
11,41,DeiT,0.01,SGD,0.0,False,0.0,3,0.365,0.46399999999999997,0.855,150.64
12,42,DeiT,0.01,SGD,1e-05,True,0.0,6,0.431,0.46399999999999997,0.8540000000000001,248.78
13,44,DeiT,0.01,SGD,1e-05,False,0.0,3,0.35600000000000004,0.465,0.851,146.21
14,45,DeiT,0.05,SGD,0.0,True,0.0,9,0.493,0.479,0.833,360.85
15,46,DeiT,0.05,SGD,0.0001,True,0.0,14,0.502,0.488,0.826,569.04
16,47,DeiT,0.05,SGD,1e-05,True,0.0,11,0.486,0.493,0.825,445.13
17,48,DeiT,0.05,SGD,1e-05,False,0.0,6,0.387,0.515,0.82,1099.06
18,49,DeiT,0.01,SGD,0.001,True,0.0,14,0.537,0.502,0.82,571.76
19,50,DeiT,0.01,SGD,0.001,False,0.0,14,0.428,0.501,0.8190000000000001,1389.52
20,51,DeiT,0.05,SGD,0.0,False,0.0,6,0.39,0.514,0.818,1082.14
21,53,DeiT,0.05,SGD,0.0001,False,0.0,9,0.402,0.514,0.818,1204.42
22,114,DeiT,0.01,SGD,0.0,False,0.5,4,0.6579999999999999,0.687,0.606,112.29
23,118,DeiT,0.005,SGD,1e-05,True,0.5,5,0.6659999999999999,0.6629999999999999,0.602,230.59
24,119,DeiT,0.01,SGD,0.0001,False,0.5,4,0.657,0.674,0.601,111.66
25,121,DeiT,0.005,SGD,0.0,True,0.5,8,0.665,0.684,0.6,330.87
26,125,DeiT,0.01,SGD,1e-05,False,0.5,4,0.6609999999999999,0.665,0.597,112.12
27,127,DeiT,0.01,SGD,0.0001,True,0.5,1,0.6729999999999999,0.6629999999999999,0.596,76.93
28,129,DeiT,0.01,SGD,1e-05,True,0.5,4,0.6659999999999999,0.67,0.595,188.53
29,130,DeiT,0.005,SGD,0.0,False,0.5,2,0.665,0.706,0.595,65.55
30,132,DeiT,0.005,SGD,1e-05,False,0.5,11,0.657,0.691,0.594,267.63
31,141,DeiT,0.05,SGD,0.0,False,0.5,3,0.6609999999999999,0.677,0.589,89.72
