,index,Architecture,Starting LR,Optimizer,Weight Decay,Mixup,Dropout,Epoch,Loss Train,Loss Val,AUC Val,Total time (min)
0,0,DenseNet121,0.005,SGD,1e-05,True,0.5,6,0.46399999999999997,0.43700000000000006,0.871,102.68
1,1,DenseNet121,0.005,SGD,0.0001,True,0.0,9,0.465,0.433,0.871,144.82
2,2,DenseNet121,0.005,SGD,0.0001,False,0.5,12,0.336,0.441,0.87,190.26
3,3,DenseNet121,0.005,SGD,0.0001,True,0.5,14,0.456,0.429,0.87,229.58
4,4,DenseNet121,0.005,SGD,1e-05,False,0.5,10,0.33899999999999997,0.442,0.8690000000000001,166.35
5,5,DenseNet121,0.005,SGD,0.001,False,0.0,9,0.326,0.442,0.8690000000000001,153.87
6,6,DenseNet121,0.005,SGD,0.0,False,0.5,8,0.326,0.44799999999999995,0.8690000000000001,135.58
7,7,DenseNet121,0.005,SGD,0.0,False,0.0,6,0.33799999999999997,0.447,0.8690000000000001,101.28
8,8,DenseNet121,0.005,SGD,1e-05,False,0.0,6,0.324,0.442,0.868,107.33
9,9,DenseNet121,0.005,SGD,0.001,True,0.0,9,0.461,0.436,0.868,146.53
10,10,DenseNet121,0.01,SGD,1e-05,False,0.0,7,0.355,0.439,0.868,117.15
11,11,DenseNet121,0.005,SGD,1e-05,True,0.0,14,0.462,0.43200000000000005,0.868,218.19
12,12,DenseNet121,0.01,SGD,0.0001,False,0.5,5,0.387,0.442,0.867,93.7
13,13,DenseNet121,0.005,SGD,0.001,True,0.5,7,0.47200000000000003,0.435,0.867,118.39
14,14,DenseNet121,0.01,SGD,0.001,True,0.5,12,0.478,0.43799999999999994,0.867,207.1
15,18,DenseNet121,0.005,SGD,0.0001,False,0.0,9,0.326,0.455,0.866,147.56
16,17,DenseNet121,0.005,SGD,0.0,True,0.5,9,0.465,0.436,0.866,145.5
17,15,DenseNet121,0.005,SGD,0.0,True,0.0,13,0.473,0.435,0.866,204.7
18,19,DenseNet121,0.01,SGD,0.0,False,0.5,6,0.363,0.444,0.865,103.93
19,20,DenseNet121,0.005,SGD,0.001,False,0.5,5,0.365,0.44299999999999995,0.865,88.7
20,22,DenseNet121,0.01,SGD,0.001,False,0.0,12,0.358,0.447,0.865,191.83
21,23,DenseNet121,0.01,SGD,0.0,False,0.0,10,0.368,0.43799999999999994,0.865,160.09
22,24,DenseNet121,0.01,SGD,0.001,True,0.0,18,0.48200000000000004,0.442,0.8640000000000001,275.83
23,25,DenseNet121,0.01,SGD,0.001,False,0.5,6,0.377,0.444,0.8640000000000001,104.6
24,29,DenseNet121,0.01,SGD,0.0,True,0.0,9,0.478,0.442,0.862,146.67
25,30,DenseNet121,0.01,SGD,0.0001,True,0.5,15,0.48200000000000004,0.445,0.862,237.99
26,31,DenseNet121,0.01,SGD,1e-05,True,0.5,10,0.496,0.444,0.861,164.65
27,32,DenseNet121,0.01,SGD,0.0001,False,0.0,7,0.38799999999999996,0.446,0.861,121.62
28,35,DenseNet121,0.01,SGD,0.0001,True,0.0,13,0.488,0.445,0.8590000000000001,205.09
29,38,DenseNet121,0.01,SGD,1e-05,False,0.5,15,0.39799999999999996,0.451,0.858,237.5
30,43,DenseNet121,0.01,SGD,0.0,True,0.5,6,0.522,0.466,0.852,104.96
31,52,DenseNet121,0.01,SGD,1e-05,True,0.0,13,0.5489999999999999,0.503,0.818,207.77
