Architecture,Starting LR,Optimizer,Weight Decay,Mixup,Dropout,Epoch,Loss Train,Loss Val,AUC Val,Total time (min)
DenseNet121,0.05,SGD,0.0001,TRUE,0.5,17,0.136,0.132,0.813,412.72
DenseNet121,0.05,SGD,1.00E-05,TRUE,0.5,13,0.134,0.132,0.813,316.04
DenseNet121,0.05,SGD,0.0001,FALSE,0.5,6,0.121,0.133,0.812,139.24
DenseNet121,0.05,SGD,0.0001,FALSE,0,6,0.122,0.132,0.812,139.45
DenseNet121,0.05,SGD,0,TRUE,0.5,9,0.135,0.132,0.812,229.92
DenseNet121,0.01,SGD,0.001,FALSE,0.5,7,0.127,0.133,0.812,159.16
DenseNet121,0.01,SGD,0.001,FALSE,0,12,0.126,0.133,0.812,286.49
DenseNet121,0.05,SGD,1.00E-05,FALSE,0.5,7,0.120,0.133,0.811,159.48
DenseNet121,0.05,SGD,0.0001,TRUE,0,15,0.135,0.133,0.811,554.03
DenseNet121,0.05,SGD,1.00E-05,FALSE,0,6,0.122,0.133,0.811,143.71
DenseNet121,0.005,SGD,0.001,FALSE,0,5,0.125,0.133,0.810,119.44
DenseNet121,0.01,SGD,0.0001,FALSE,0,5,0.121,0.133,0.810,120.26
DenseNet121,0.05,SGD,0,FALSE,0,6,0.122,0.133,0.810,146.63
DenseNet121,0.05,SGD,0,FALSE,0.5,7,0.122,0.133,0.810,157.96
DenseNet121,0.005,SGD,0.001,FALSE,0.5,6,0.123,0.133,0.810,144.96
DenseNet121,0.05,SGD,1.00E-05,TRUE,0,8,0.135,0.133,0.809,308.98
DenseNet121,0.01,SGD,0.0001,FALSE,0.5,4,0.122,0.133,0.809,99.27
DenseNet121,0.05,SGD,0,TRUE,0,17,0.135,0.133,0.809,616.77
DenseNet121,0.01,SGD,0,FALSE,0.5,3,0.124,0.133,0.808,87.51
DenseNet121,0.01,SGD,0.0001,TRUE,0,7,0.137,0.134,0.808,279.93
DenseNet121,0.01,SGD,0,FALSE,0,3,0.123,0.134,0.807,78.78
DenseNet121,0.01,SGD,0.0001,TRUE,0.5,9,0.136,0.133,0.807,224.86
DenseNet121,0.01,SGD,1.00E-05,FALSE,0,4,0.122,0.134,0.807,99.32
DenseNet121,0.01,SGD,1.00E-05,FALSE,0.5,3,0.123,0.134,0.806,79.64
DenseNet121,0.01,SGD,0,TRUE,0.5,14,0.137,0.134,0.806,304.60
DenseNet121,0.005,SGD,0.001,TRUE,0.5,15,0.139,0.135,0.806,319.59
DenseNet121,0.01,SGD,0.001,TRUE,0.5,12,0.140,0.136,0.806,270.96
DenseNet121,0.01,SGD,1.00E-05,TRUE,0.5,22,0.136,0.134,0.805,499.95
DenseNet121,0.005,SGD,0.0001,FALSE,0,3,0.126,0.134,0.805,78.57
DenseNet121,0.005,SGD,0.001,TRUE,0,10,0.138,0.135,0.805,384.77
DenseNet121,0.01,SGD,0.001,TRUE,0,9,0.140,0.136,0.805,344.77
DenseNet121,0.005,SGD,0,FALSE,0.5,3,0.126,0.134,0.805,92.63
DenseNet121,0.005,SGD,0.0001,FALSE,0.5,4,0.125,0.134,0.804,104.06
DenseNet121,0.005,SGD,1.00E-05,FALSE,0.5,9,0.122,0.135,0.803,236.28
DenseNet121,0.01,SGD,0,TRUE,0,9,0.136,0.135,0.803,353.65
DenseNet121,0.01,SGD,1.00E-05,TRUE,0,12,0.136,0.134,0.803,455.12
DenseNet121,0.005,SGD,0,FALSE,0,5,0.123,0.135,0.803,113.79
DeiT,0.05,SGD,1.00E-05,FALSE,0,3,0.121,0.135,0.802,166.70
DenseNet121,0.005,SGD,0.0001,TRUE,0.5,5,0.139,0.135,0.801,119.53
DeiT,0.1,SGD,1.00E-05,FALSE,0,3,0.125,0.135,0.801,150.76
DeiT,0.05,SGD,0,FALSE,0,3,0.121,0.136,0.801,169.40
DenseNet121,0.005,SGD,1.00E-05,FALSE,0,3,0.126,0.135,0.800,79.33
DenseNet121,0.005,SGD,0.0001,TRUE,0,8,0.139,0.136,0.800,314.93
DeiT,0.1,SGD,0,FALSE,0,3,0.122,0.136,0.800,147.04
DeiT,0.01,SGD,1.00E-05,FALSE,0,3,0.123,0.136,0.799,163.30
DeiT,0.01,SGD,0,FALSE,0,3,0.123,0.136,0.799,154.23
DenseNet121,0.005,SGD,1.00E-05,TRUE,0.5,17,0.139,0.135,0.799,358.78
DeiT,0.05,SGD,1.00E-05,TRUE,0,6,0.130,0.136,0.799,617.48
DeiT,0.01,SGD,0.0001,FALSE,0,3,0.124,0.136,0.799,170.72
DeiT,0.05,SGD,0,TRUE,0,4,0.134,0.136,0.797,432.42
DeiT,0.1,SGD,1.00E-05,TRUE,0,7,0.131,0.137,0.797,684.68
DenseNet121,0.005,SGD,0,TRUE,0.5,8,0.139,0.136,0.797,178.20
DenseNet121,0.005,SGD,1.00E-05,TRUE,0,10,0.139,0.136,0.796,391.33
DeiT,0.005,SGD,1.00E-05,FALSE,0,3,0.125,0.136,0.796,173.46
DeiT,0.1,SGD,0,TRUE,0,5,0.133,0.137,0.796,523.57
DeiT,0.005,SGD,0,FALSE,0,3,0.126,0.136,0.796,171.23
DeiT,0.01,SGD,0.0001,TRUE,0,7,0.136,0.136,0.795,707.19
DenseNet121,0.005,SGD,0,TRUE,0,6,0.139,0.137,0.794,240.90
DeiT,0.005,SGD,0.0001,FALSE,0,3,0.127,0.136,0.794,172.72
DenseNet121,0.1,SGD,1.00E-05,FALSE,0,13,0.131,0.137,0.793,286.16
DeiT,0.01,SGD,1.00E-05,TRUE,0,6,0.135,0.137,0.793,606.88
DeiT,0.01,SGD,0,TRUE,0,4,0.137,0.138,0.792,418.28
DeiT,0.005,SGD,0.0001,TRUE,0,7,0.137,0.137,0.790,691.43
DenseNet121,0.1,SGD,0,FALSE,0.5,14,0.132,0.138,0.789,296.45
DeiT,0.005,SGD,1.00E-05,TRUE,0,7,0.138,0.138,0.788,691.61
DeiT,0.005,SGD,0,TRUE,0,7,0.137,0.138,0.788,694.71
DenseNet121,0.1,SGD,0.0001,FALSE,0,10,0.135,0.138,0.785,220.17
DeiT,0.05,SGD,0.0001,FALSE,0,7,0.132,0.139,0.784,343.80
DenseNet121,0.1,SGD,1.00E-05,TRUE,0.5,8,0.146,0.140,0.781,179.81
DenseNet121,0.1,SGD,0.0001,TRUE,0,13,0.145,0.140,0.780,492.06
DenseNet121,0.1,SGD,0.0001,FALSE,0.5,15,0.139,0.142,0.771,318.36
DeiT,0.05,SGD,0.0001,TRUE,0,11,0.144,0.141,0.771,993.39
DenseNet121,0.1,SGD,0.0001,TRUE,0.5,19,0.149,0.144,0.760,412.38
DeiT,0.005,SGD,0.001,FALSE,0,0,0.147,0.147,0.759,43.35
DenseNet121,0.1,SGD,0,TRUE,0,15,0.149,0.146,0.751,553.10
DenseNet121,0.1,SGD,0,TRUE,0.5,13,0.151,0.146,0.750,278.37
DeiT,0.005,SGD,0.001,TRUE,0,0,0.153,0.149,0.750,83.71
DenseNet121,0.01,AdamW,1.00E-05,FALSE,0.5,11,0.145,0.146,0.749,247.61
DenseNet121,0.005,AdamW,1.00E-05,FALSE,0,12,0.145,0.146,0.747,317.89
DeiT,0.1,SGD,0.0001,FALSE,0,0,0.149,0.151,0.744,36.70
DenseNet121,0.005,AdamW,1.00E-05,FALSE,0.5,14,0.146,0.146,0.743,350.90
DenseNet121,0.01,AdamW,0,FALSE,0.5,9,0.145,0.146,0.743,227.93
DenseNet121,0.005,AdamW,0.0001,FALSE,0.5,12,0.146,0.147,0.742,270.43
DenseNet121,0.005,AdamW,0.001,FALSE,0.5,12,0.146,0.147,0.740,266.91
DenseNet121,0.01,AdamW,0.001,FALSE,0.5,15,0.146,0.147,0.740,329.47
DenseNet121,0.1,SGD,0,FALSE,0,7,0.142,0.292,0.740,164.95
DenseNet121,0.01,AdamW,0.0001,FALSE,0,9,0.146,0.147,0.740,106.25
DenseNet121,0.1,SGD,1.00E-05,FALSE,0.5,13,0.144,0.159,0.739,277.68
DenseNet121,0.01,AdamW,0.001,FALSE,0,14,0.146,0.147,0.739,326.00
DenseNet121,0.005,AdamW,0,FALSE,0.5,9,0.146,0.147,0.738,207.21
DenseNet121,0.005,AdamW,0,FALSE,0,17,0.147,0.147,0.738,419.83
DenseNet121,0.005,AdamW,0,TRUE,0,10,0.152,0.148,0.737,252.82
DenseNet121,0.005,AdamW,0.001,FALSE,0,6,0.147,0.148,0.737,112.81
DenseNet121,0.005,AdamW,0.001,TRUE,0,11,0.153,0.148,0.735,282.83
