Architecture,Starting LR,Optimizer,Weight Decay,Mixup,Dropout,Epoch,Loss Train,Loss Val,AUC Val,Total time (min)
DenseNet121,0.005,SGD,1.00E-05,TRUE,0.5,6,0.464,0.437,0.871,102.68
DenseNet121,0.005,SGD,0.0001,TRUE,0,9,0.465,0.433,0.871,144.82
DenseNet121,0.005,SGD,0.0001,FALSE,0.5,12,0.336,0.441,0.870,190.26
DenseNet121,0.005,SGD,0.0001,TRUE,0.5,14,0.456,0.429,0.870,229.58
DenseNet121,0.005,SGD,1.00E-05,FALSE,0.5,10,0.339,0.442,0.869,166.35
DenseNet121,0.005,SGD,0.001,FALSE,0,9,0.326,0.442,0.869,153.87
DenseNet121,0.005,SGD,0,FALSE,0.5,8,0.326,0.448,0.869,135.58
DenseNet121,0.005,SGD,0,FALSE,0,6,0.338,0.447,0.869,101.28
DenseNet121,0.005,SGD,1.00E-05,FALSE,0,6,0.324,0.442,0.868,107.33
DenseNet121,0.005,SGD,0.001,TRUE,0,9,0.461,0.436,0.868,146.53
DenseNet121,0.01,SGD,1.00E-05,FALSE,0,7,0.355,0.439,0.868,117.15
DenseNet121,0.005,SGD,1.00E-05,TRUE,0,14,0.462,0.432,0.868,218.19
DenseNet121,0.01,SGD,0.0001,FALSE,0.5,5,0.387,0.442,0.867,93.70
DenseNet121,0.005,SGD,0.001,TRUE,0.5,7,0.472,0.435,0.867,118.39
DenseNet121,0.01,SGD,0.001,TRUE,0.5,12,0.478,0.438,0.867,207.10
DenseNet121,0.005,SGD,0,TRUE,0,13,0.473,0.435,0.866,204.70
DeiT,0.005,SGD,1.00E-05,TRUE,0,8,0.423,0.449,0.866,322.71
DenseNet121,0.005,SGD,0,TRUE,0.5,9,0.465,0.436,0.866,145.50
DenseNet121,0.005,SGD,0.0001,FALSE,0,9,0.326,0.455,0.866,147.56
DenseNet121,0.01,SGD,0,FALSE,0.5,6,0.363,0.444,0.865,103.93
DenseNet121,0.005,SGD,0.001,FALSE,0.5,5,0.365,0.443,0.865,88.70
DeiT,0.005,SGD,0.0001,FALSE,0,4,0.290,0.464,0.865,178.93
DenseNet121,0.01,SGD,0.001,FALSE,0,12,0.358,0.447,0.865,191.83
DenseNet121,0.01,SGD,0,FALSE,0,10,0.368,0.438,0.865,160.09
DenseNet121,0.01,SGD,0.001,TRUE,0,18,0.482,0.442,0.864,275.83
DenseNet121,0.01,SGD,0.001,FALSE,0.5,6,0.377,0.444,0.864,104.60
DeiT,0.005,SGD,0.001,TRUE,0,6,0.462,0.441,0.864,239.55
DeiT,0.005,SGD,0.0001,TRUE,0,7,0.412,0.454,0.864,303.85
DeiT,0.005,SGD,0,TRUE,0,11,0.403,0.462,0.863,418.51
DenseNet121,0.01,SGD,0,TRUE,0,9,0.478,0.442,0.862,146.67
DenseNet121,0.01,SGD,0.0001,TRUE,0.5,15,0.482,0.445,0.862,237.99
DenseNet121,0.01,SGD,1.00E-05,TRUE,0.5,10,0.496,0.444,0.861,164.65
DenseNet121,0.01,SGD,0.0001,FALSE,0,7,0.388,0.446,0.861,121.62
DeiT,0.005,SGD,0.001,FALSE,0,4,0.354,0.456,0.860,191.61
DeiT,0.01,SGD,0,TRUE,0,4,0.469,0.443,0.859,189.23
DenseNet121,0.01,SGD,0.0001,TRUE,0,13,0.488,0.445,0.859,205.09
DeiT,0.005,SGD,1.00E-05,FALSE,0,4,0.292,0.480,0.859,189.65
DeiT,0.005,SGD,0,FALSE,0,3,0.335,0.462,0.858,146.84
DenseNet121,0.01,SGD,1.00E-05,FALSE,0.5,15,0.398,0.451,0.858,237.50
DeiT,0.01,SGD,0.0001,TRUE,0,6,0.439,0.459,0.857,256.54
DeiT,0.01,SGD,0.0001,FALSE,0,4,0.326,0.466,0.856,184.59
DeiT,0.01,SGD,0,FALSE,0,3,0.365,0.464,0.855,150.64
DeiT,0.01,SGD,1.00E-05,TRUE,0,6,0.431,0.464,0.854,248.78
DenseNet121,0.01,SGD,0,TRUE,0.5,6,0.522,0.466,0.852,104.96
DeiT,0.01,SGD,1.00E-05,FALSE,0,3,0.356,0.465,0.851,146.21
DeiT,0.05,SGD,0,TRUE,0,9,0.493,0.479,0.833,360.85
DeiT,0.05,SGD,0.0001,TRUE,0,14,0.502,0.488,0.826,569.04
DeiT,0.05,SGD,1.00E-05,TRUE,0,11,0.486,0.493,0.825,445.13
DeiT,0.05,SGD,1.00E-05,FALSE,0,6,0.387,0.515,0.820,1099.06
DeiT,0.01,SGD,0.001,TRUE,0,14,0.537,0.502,0.820,571.76
DeiT,0.01,SGD,0.001,FALSE,0,14,0.428,0.501,0.819,1389.52
DeiT,0.05,SGD,0,FALSE,0,6,0.390,0.514,0.818,1082.14
DenseNet121,0.01,SGD,1.00E-05,TRUE,0,13,0.549,0.503,0.818,207.77
DeiT,0.05,SGD,0.0001,FALSE,0,9,0.402,0.514,0.818,1204.42
DenseNet121,0.05,AdamW,0.001,FALSE,0,11,0.562,0.580,0.747,186.89
DenseNet121,0.005,AdamW,1.00E-05,FALSE,0,14,0.567,0.581,0.740,310.15
DenseNet121,0.01,AdamW,0,FALSE,0.5,13,0.580,0.593,0.720,213.33
DenseNet121,0.005,AdamW,0.001,FALSE,0,10,0.581,0.594,0.719,176.99
DenseNet121,0.01,AdamW,0,FALSE,0,12,0.578,0.598,0.718,200.64
DenseNet121,0.01,AdamW,0.0001,FALSE,0.5,18,0.581,0.592,0.717,301.92
DenseNet121,0.005,AdamW,1.00E-05,FALSE,0.5,14,0.587,0.595,0.716,232.59
DenseNet121,0.005,AdamW,0.001,TRUE,0,10,0.620,0.599,0.715,166.06
DenseNet121,0.005,AdamW,0.0001,FALSE,0,12,0.582,0.604,0.709,269.67
DenseNet121,0.005,AdamW,0.001,FALSE,0.5,13,0.598,0.600,0.707,215.62
DenseNet121,0.01,AdamW,1.00E-05,FALSE,0.5,8,0.606,0.605,0.704,137.24
DenseNet121,0.005,AdamW,0,FALSE,0,15,0.597,0.599,0.701,248.35
DenseNet121,0.005,AdamW,0,FALSE,0.5,12,0.589,0.604,0.701,207.03
DenseNet121,0.05,AdamW,0.0001,FALSE,0.5,19,0.594,0.609,0.698,311.65
DenseNet121,0.01,AdamW,0,TRUE,0,11,0.627,0.610,0.697,183.31
DenseNet121,0.01,AdamW,1.00E-05,FALSE,0,15,0.599,0.612,0.693,253.72
DenseNet121,0.05,AdamW,0.001,FALSE,0.5,15,0.602,0.620,0.692,246.08
DenseNet121,0.01,AdamW,0.001,FALSE,0,21,0.608,0.617,0.690,331.98
DenseNet121,0.01,AdamW,0.001,FALSE,0.5,15,0.605,0.616,0.689,253.47
DenseNet121,0.05,SGD,0.001,TRUE,0.5,16,0.635,0.623,0.689,248.89
DenseNet121,0.005,AdamW,1.00E-05,TRUE,0,12,0.630,0.616,0.688,201.47
DenseNet121,0.05,AdamW,0.001,TRUE,0.5,24,0.638,0.625,0.677,383.94
DenseNet121,0.005,AdamW,0.0001,FALSE,0.5,19,0.610,1.165,0.674,309.88
DenseNet121,0.05,AdamW,0,TRUE,0,14,0.635,0.627,0.672,230.85
DenseNet121,0.05,AdamW,1.00E-05,FALSE,0.5,17,0.610,0.625,0.672,280.74
